trial_id,probes,time_taken,memory_used,found,load_factor,collision_count
5,8,8.230000094044954e-05,7256,True,,
1,7,5.049999890616164e-05,7256,True,,
2,7,5.370000144466758e-05,7256,True,,
3,7,3.710000237333588e-05,7256,True,,
4,7,5.220000093686394e-05,7256,True,,
5,7,6.450000000768341e-05,7256,True,,
1,8,0.000104899998405,7256,True,,
2,7,7.60000002628658e-05,7256,True,,
3,4,6.579999899258837e-05,7256,True,,
4,6,9.240000144927762e-05,7256,True,,
5,6,6.0599999414989725e-05,7256,True,,
1,8,6.489999941550195e-05,7256,False,,
2,8,5.9300000430084765e-05,7256,False,,
3,8,7.419999747071415e-05,7256,False,,
4,8,5.500000042957254e-05,7256,False,,
5,8,7.159999950090423e-05,7256,False,,
1,8,5.380000220611692e-05,7256,True,,
2,8,5.239999882178381e-05,7256,True,,
3,8,5.900000178371556e-05,7256,True,,
4,8,5.0099999498343095e-05,7256,True,,
5,8,7.46000005165115e-05,7256,True,,
1,8,5.660000169882551e-05,7616,True,,
2,8,7.259999983943999e-05,7616,True,,
3,8,8.789999992586672e-05,7616,True,,
4,7,7.100000220816582e-05,7616,True,,
5,7,9.929999941959976e-05,7616,True,,
1,7,5.020000025979243e-05,7616,True,,
2,7,6.589999975403771e-05,7616,True,,
3,7,9.679999857326038e-05,7616,True,,
4,7,7.420000110869296e-05,7616,True,,
5,7,8.97999998414889e-05,7616,True,,
1,6,8.610000077169389e-05,7616,True,,
2,8,9.870000212686136e-05,7616,True,,
3,6,8.53000019560568e-05,7616,True,,
4,7,7.890000051702373e-05,7616,True,,
5,5,9.959999806596898e-05,7616,True,,
1,8,5.8900001022266224e-05,7616,False,,
2,8,6.920000305399299e-05,7616,False,,
3,8,5.889999738428742e-05,7616,False,,
4,8,5.650000093737617e-05,7616,False,,
5,8,5.5500000598840415e-05,7616,False,,
1,8,5.609999789157882e-05,7616,True,,
2,8,5.859999873791821e-05,7616,True,,
3,8,4.400000034365803e-05,7616,True,,
4,8,7.510000068577938e-05,7616,True,,
5,8,8.309999975608662e-05,7616,True,,
1,8,8.510000043315813e-05,7976,True,,
2,7,8.610000077169389e-05,7976,True,,
3,8,9.869999848888256e-05,7976,True,,
4,8,9.370000043418258e-05,7976,True,,
5,5,8.309999975608662e-05,7976,True,,
1,7,4.6799999836366624e-05,7976,True,,
2,7,4.400000034365803e-05,7976,True,,
3,7,7.140000161598437e-05,7976,True,,
4,7,5.739999687648378e-05,7976,True,,
5,7,7.18000010238029e-05,7976,True,,
1,6,0.0001106000017898,7976,True,,
2,8,8.859999798005447e-05,7976,True,,
3,8,8.960000195656903e-05,7976,True,,
4,7,0.0001057000008586,7976,True,,
5,6,8.519999755662866e-05,7976,True,,
1,8,6.760000178474002e-05,7976,False,,
2,8,5.919999966863543e-05,7976,False,,
3,8,7.099999857018702e-05,7976,False,,
4,8,6.0999998822808266e-05,7976,False,,
5,8,6.0599999414989725e-05,7976,False,,
1,8,8.189999789465219e-05,7976,True,,
2,8,8.460000026389025e-05,7976,True,,
3,8,7.60000002628658e-05,7976,True,,
4,8,7.679999907850288e-05,7976,True,,
5,8,8.410000009462237e-05,7976,True,,
1,5,6.009999924572185e-05,8336,True,,
2,7,9.549999958835542e-05,8336,True,,
3,8,9.39999990805518e-05,8336,True,,
4,7,7.249999907799065e-05,8336,True,,
5,8,7.919999916339293e-05,8336,True,,
1,7,7.900000127847306e-05,8336,True,,
2,7,6.479999865405262e-05,8336,True,,
3,7,8.189999789465219e-05,8336,True,,
4,7,8.009999874047935e-05,8336,True,,
5,7,7.220000043162145e-05,8336,True,,
1,7,8.680000246386044e-05,8336,True,,
2,5,0.000128499999846,8336,True,,
3,7,7.6299998909235e-05,8336,True,,
4,7,7.829999958630651e-05,8336,True,,
5,8,7.750000077066943e-05,8336,True,,
1,8,6.24999993306119e-05,8336,False,,
2,8,6.130000110715628e-05,8336,False,,
3,8,5.919999966863543e-05,8336,False,,
4,8,8.089999755611643e-05,8336,False,,
5,8,6.539999958476983e-05,8336,False,,
1,8,6.990000110818073e-05,8336,True,,
2,8,7.46000005165115e-05,8336,True,,
3,8,7.380000170087442e-05,8336,True,,
4,8,8.330000127898529e-05,8336,True,,
5,8,8.949999755714089e-05,8336,True,,
1,7,8.53000019560568e-05,8696,True,,
2,5,9.20999991649296e-05,8696,True,,
3,8,6.949999806238338e-05,8696,True,,
4,8,9.069999941857532e-05,8696,True,,
5,7,8.729999899514951e-05,8696,True,,
1,7,0.0001013999972201,8696,True,,
2,7,4.709999848273583e-05,8696,True,,
3,7,7.700000060140155e-05,8696,True,,
4,7,8.410000009462237e-05,8696,True,,
5,7,6.310000026132911e-05,8696,True,,
1,7,7.890000051702373e-05,8696,True,,
