input_size,comparisons,swaps_or_shifts,presortedness_score,duplicate_ratio,value_range,probes,collision_count,domain,algorithm,input_condition
100,4950.0,96.0,0.4691,0.0,99649.0,0.0,0.0,sorting,selection_sort,random
100,2721.0,2628.0,0.4691,0.0,99649.0,0.0,0.0,sorting,insertion_sort,random
100,535.0,672.0,0.4691,0.0,99649.0,0.0,0.0,sorting,merge_sort,random
100,673.0,416.0,0.4691,0.0,99649.0,0.0,0.0,sorting,quick_sort,random
100,1017.0,584.0,0.4691,0.0,99649.0,0.0,0.0,sorting,heap_sort,random
100,0.0,500.0,0.4691,0.0,99649.0,0.0,0.0,sorting,radix_sort,random
110,5985.0,3349.0,0.4414,0.0,98088.0,0.0,0.0,sorting,bubble_sort,random
110,620.0,752.0,0.4414,0.0,98088.0,0.0,0.0,sorting,merge_sort,random
110,652.0,351.0,0.4414,0.0,98088.0,0.0,0.0,sorting,quick_sort,random
110,1153.0,639.0,0.4414,0.0,98088.0,0.0,0.0,sorting,heap_sort,random
110,0.0,550.0,0.4414,0.0,98088.0,0.0,0.0,sorting,radix_sort,random
110,5980.0,3187.0,0.4684,0.0,98759.0,0.0,0.0,sorting,bubble_sort,random
110,616.0,752.0,0.4684,0.0,98759.0,0.0,0.0,sorting,merge_sort,random
110,776.0,312.0,0.4684,0.0,98759.0,0.0,0.0,sorting,quick_sort,random
110,1158.0,647.0,0.4684,0.0,98759.0,0.0,0.0,sorting,heap_sort,random
110,0.0,550.0,0.4684,0.0,98759.0,0.0,0.0,sorting,radix_sort,random
110,5940.0,3267.0,0.455,0.0,97742.0,0.0,0.0,sorting,bubble_sort,random
110,611.0,752.0,0.455,0.0,97742.0,0.0,0.0,sorting,merge_sort,random
110,660.0,451.0,0.455,0.0,97742.0,0.0,0.0,sorting,quick_sort,random
110,1167.0,661.0,0.455,0.0,97742.0,0.0,0.0,sorting,heap_sort,random
110,0.0,550.0,0.455,0.0,97742.0,0.0,0.0,sorting,radix_sort,random
110,5742.0,2948.0,0.5083,0.0091,97297.0,0.0,0.0,sorting,bubble_sort,random
110,595.0,752.0,0.5083,0.0091,97297.0,0.0,0.0,sorting,merge_sort,random
110,659.0,367.0,0.5083,0.0091,97297.0,0.0,0.0,sorting,quick_sort,random
110,1148.0,655.0,0.5083,0.0091,97297.0,0.0,0.0,sorting,heap_sort,random
110,0.0,550.0,0.5083,0.0091,97297.0,0.0,0.0,sorting,radix_sort,random
110,5742.0,3298.0,0.4499,0.0,97621.0,0.0,0.0,sorting,bubble_sort,random
110,609.0,752.0,0.4499,0.0,97621.0,0.0,0.0,sorting,merge_sort,random
110,743.0,448.0,0.4499,0.0,97621.0,0.0,0.0,sorting,quick_sort,random
